Datafield	Odds ratio	025	925
Body mass index (BMI)	0.962466550522609	0.9571799404289238	0.9677823591453294
Arm fat mass (left)	1.0433808113326544	0.9970568483250932	1.091857018269266
Leg fat mass (left)	0.9700024404086454	0.951316251941286	0.9890556715274101
Waist circumference	0.9847939239013962	0.9827946576926389	0.9867972571503458
Leg fat mass (right)	0.9778704174370512	0.9597053124369775	0.9963793478128808
Systolic blood pressure, automated reading	0.9766109201040745	0.9751802416773961	0.9780436974665936
Trunk fat percentage	0.9880869762268021	0.9840640427885009	0.9921263557425386
Arm fat percentage (right)	0.9825409778636112	0.9786678469514151	0.986429436900778
Body fat percentage	0.9784611909675561	0.9741696498573313	0.9827716377428295
Arm fat mass (right)	1.0435346883876897	0.9920078497026933	1.0977379324112782
Arm fat percentage (left)	0.9821990141735407	0.9784411373591851	0.9859713237806446
Leg fat percentage (right)	0.9699911567077383	0.965729403932315	0.9742717165492453
Weight	0.9841781822840495	0.9823871489419741	0.9859724809380093
Leg fat percentage (left)	0.9640726393521588	0.9596642316103358	0.968501297988178
Trunk fat mass	1.010604845492761	1.0046720204349717	1.0165727052807412
Whole body fat mass	1.0016132319431335	0.9983351470693131	1.004902080577472
Impedance of arm (right)	0.9874730095394556	0.9868691041053396	0.9880772845279248
Impedance of arm (left)	0.9877339868516662	0.9871450132498892	0.9883233118606823
Forced vital capacity (FVC)	0.4411600728813236	0.4252907989638641	0.4576214918799391
Leg fat-free mass (right)	0.7742209118440051	0.7605768436621223	0.7881097424034216
Hip circumference	0.9642261083612599	0.962175250670312	0.9662813374151852
Impedance of whole body	0.9930733541739195	0.9927428927942133	0.9934039255566529
Usual walking pace:Steady average pace	0.1526617586484398	0.13527067600925874	0.17228872687853874
Usual walking pace:Brisk pace	0.08284495023761466	0.07319291443824118	0.09376981136150772
Plays computer games:Sometimes	0.8965075401992678	0.8270103224200563	0.9718449067022794
Plays computer games:Often	1.1285534896440532	0.9581035147063098	1.3293271128205604
Sleeplessness / insomnia:Sometimes	0.8166702409038599	0.7560920109438827	0.882102009708273
Sleeplessness / insomnia:Usually	1.2242768211256132	1.123788311487833	1.3337509559616598
Cheese intake:Less than once a week	0.045728581558637064	0.03628096969636437	0.057636363880716954
Cheese intake:Once a week	0.0376383893128546	0.029903492818817528	0.04737400940583589
Cheese intake:2-4 times a week	0.029938676542752136	0.02392961663840076	0.03745669505182007
Cheese intake:5-6 times a week	0.023743536201037776	0.018576909930475522	0.030347109042346564
Cheese intake:Once or more daily	0.020085351012138455	0.015066649439850591	0.026775782292629745
Variation in diet:Sometimes	0.8763817701231419	0.8207757227801751	0.935755025017807
Variation in diet:Often	1.0287501852446712	0.912823124353692	1.1593997954316446
Time spent watching television (TV)	1.1318805333570812	1.1112351168822454	1.1529095169231147
Current tobacco smoking:Yes, on most or all days	1.6841495781362836	1.5149686518241465	1.8722234272777938
Current tobacco smoking:Only occasionally	0.8663600856717973	0.7202123240044576	1.0421646131684337
Poultry intake:Less than once a week	0.25665215747121634	0.2157024539522005	0.30537589502448054
Poultry intake:Once a week	0.24075641389967445	0.20643989324349532	0.28077737264407215
Poultry intake:2-4 times a week	0.2348755168647248	0.20249249420885393	0.2724373001478861
Poultry intake:5-6 times a week	0.27138836835691715	0.20759910766447523	0.35477824210336506
Poultry intake:Once or more daily	0.2700979446965562	0.14917944891726212	0.4890278135412946
